Bla	Dre	mm_cat	dre_cat
BL02325	ENSDARG00000071501	1-3	4
BL02325	ENSDARG00000012025	1-3	4
BL02325	ENSDARG00000069500	1-3	4
BL02325	ENSDARG00000071217	1-3	4
BL12098	ENSDARG00000079499	1-3	1
BL12096	ENSDARG00000099651	1-1	1
BL12093	ENSDARG00000043732	1-1	1
BL02744	ENSDARG00000031985	1-1	1
BL02745	ENSDARG00000102729	1-1	2
BL02745	ENSDARG00000073789	1-1	2
BL02740	ENSDARG00000091754	1-1	1
BL22480	ENSDARG00000003257	1-2	3
BL22480	ENSDARG00000052290	1-2	3
BL22480	ENSDARG00000057394	1-2	3
BL22485	ENSDARG00000062056	1-2	2
BL22485	ENSDARG00000101669	1-2	2
BL22486	ENSDARG00000060256	1-1	1
BL17604	ENSDARG00000104178	1-1	1
BL17601	ENSDARG00000094327	1-1	1
BL14559	ENSDARG00000103409	1-2	1
BL15609	ENSDARG00000103234	1-1	1
BL23674	ENSDARG00000099280	1-1	1
BL19607	ENSDARG00000045749	1-2	4
BL19607	ENSDARG00000100057	1-2	4
BL19607	ENSDARG00000029168	1-2	4
BL19607	ENSDARG00000061977	1-2	4
BL24222	ENSDARG00000032577	1-1	1
BL24221	ENSDARG00000043247	1-1	1
BL24224	ENSDARG00000055770	1-1	1
BL30136	ENSDARG00000075337	1-1	1
BL06142	ENSDARG00000079000	1-1	1
BL06149	ENSDARG00000071425	1-1	1
BL21769	ENSDARG00000005948	1-1	1
BL21768	ENSDARG00000077639	1-1	1
BL21767	ENSDARG00000062904	1-1	1
BL23947	ENSDARG00000100375	1-1	2
BL23947	ENSDARG00000071396	1-1	2
BL01495	ENSDARG00000040666	1-1	1
BL01491	ENSDARG00000054122	1-3	4
BL01491	ENSDARG00000043555	1-3	4
BL01491	ENSDARG00000030236	1-3	4
BL01491	ENSDARG00000009430	1-3	4
BL01493	ENSDARG00000008805	1-1	1
BL01492	ENSDARG00000101888	1-1	2
BL01492	ENSDARG00000104403	1-1	2
BL20414	ENSDARG00000076330	1-1	1
BL20412	ENSDARG00000010415	1-1	1
BL71739	ENSDARG00000073801	1-1	1
BL18354	ENSDARG00000075008	1-1	1
BL18357	ENSDARG00000099685	1-1	2
BL18357	ENSDARG00000055377	1-1	2
BL18351	ENSDARG00000089110	1-1	1
BL05551	ENSDARG00000035391	1-1	1
BL05555	ENSDARG00000002816	1-2	3
BL05555	ENSDARG00000073824	1-2	3
BL05555	ENSDARG00000075054	1-2	3
BL05557	ENSDARG00000038882	1-1	1
BL03255	ENSDARG00000004889	1-1	1
BL03257	ENSDARG00000013734	1-2	3
BL03257	ENSDARG00000012044	1-2	3
BL03257	ENSDARG00000024687	1-2	3
BL95594	ENSDARG00000070131	1-2	1
BL95593	ENSDARG00000058256	1-1	1
BL00280	ENSDARG00000101680	1-1	1
BL12873	ENSDARG00000099966	1-1	1
BL04101	ENSDARG00000078195	1-1	1
BL04103	ENSDARG00000060921	1-1	1
BL32240	ENSDARG00000036438	1-1	1
BL18994	ENSDARG00000062449	1-1	2
BL18994	ENSDARG00000029671	1-1	2
BL18995	ENSDARG00000022599	1-1	1
BL20023	ENSDARG00000031345	1-2	2
BL20023	ENSDARG00000053558	1-2	2
BL13830	ENSDARG00000076490	1-1	1
BL13837	ENSDARG00000041237	1-1	1
BL00196	ENSDARG00000015610	1-2	1
BL00195	ENSDARG00000101445	1-1	1
BL02972	ENSDARG00000016484	1-1	1
BL05616	ENSDARG00000040959	1-1	1
BL05613	ENSDARG00000037913	1-2	4
BL05613	ENSDARG00000101362	1-2	4
BL05613	ENSDARG00000101844	1-2	4
BL05613	ENSDARG00000067848	1-2	4
BL05612	ENSDARG00000062025	1-1	1
BL05611	ENSDARG00000045683	1-1	1
BL05619	ENSDARG00000021997	1-1	1
BL05618	ENSDARG00000059212	1-1	1
BL10565	ENSDARG00000060210	1-1	1
BL96102	ENSDARG00000059657	1-1	1
BL03756	ENSDARG00000014165	1-1	1
BL28203	ENSDARG00000051851	1-1	1
BL28206	ENSDARG00000060021	1-1	1
BL35311	ENSDARG00000007359	1-2	1
BL09457	ENSDARG00000104702	1-1	1
BL09456	ENSDARG00000034826	1-1	1
BL17100	ENSDARG00000000142	1-1	1
BL17102	ENSDARG00000060586	1-1	2
BL17102	ENSDARG00000061587	1-1	2
BL95051	ENSDARG00000061446	1-2	2
BL95051	ENSDARG00000031302	1-2	2
BL13489	ENSDARG00000069360	1-1	2
BL13489	ENSDARG00000092659	1-1	2
BL14454	ENSDARG00000077409	1-1	1
BL14451	ENSDARG00000045254	1-1	1
BL22566	ENSDARG00000087574	1-3	2
BL22566	ENSDARG00000056615	1-3	2
BL22562	ENSDARG00000045075	1-3	4
BL22562	ENSDARG00000098105	1-3	4
BL22562	ENSDARG00000101936	1-3	4
BL22562	ENSDARG00000035949	1-3	4
BL12689	ENSDARG00000079716	1-2	3
BL12689	ENSDARG00000059812	1-2	3
BL12689	ENSDARG00000062472	1-2	3
BL13154	ENSDARG00000042644	1-1	1
BL21145	ENSDARG00000063731	1-1	1
BL21141	ENSDARG00000002402	1-1	1
BL17816	ENSDARG00000056294	1-3	5
BL17816	ENSDARG00000031618	1-3	5
BL17816	ENSDARG00000099069	1-3	5
BL17816	ENSDARG00000057687	1-3	5
BL17816	ENSDARG00000058944	1-3	5
BL17811	ENSDARG00000051785	1-1	1
BL23777	ENSDARG00000054849	1-2	2
BL23777	ENSDARG00000045568	1-2	2
BL23770	ENSDARG00000095705	1-1	1
BL22891	ENSDARG00000044809	1-1	1
BL24698	ENSDARG00000056704	1-3	1
BL24699	ENSDARG00000070097	1-1	1
BL07422	ENSDARG00000010785	1-2	4
BL07422	ENSDARG00000073810	1-2	4
BL07422	ENSDARG00000103775	1-2	4
BL07422	ENSDARG00000060410	1-2	4
BL19417	ENSDARG00000069373	1-1	1
BL78077	ENSDARG00000058728	1-1	1
BL06483	ENSDARG00000077728	1-1	1
BL20590	ENSDARG00000078249	1-2	2
BL20590	ENSDARG00000079264	1-2	2
BL20597	ENSDARG00000078644	1-1	1
BL20596	ENSDARG00000091418	1-1	1
BL20599	ENSDARG00000068596	1-1	1
BL20598	ENSDARG00000054799	1-1	1
BL01284	ENSDARG00000075057	1-1	1
BL01285	ENSDARG00000007886	1-1	1
BL01288	ENSDARG00000053505	1-1	1
BL22764	ENSDARG00000053805	1-1	1
BL22765	ENSDARG00000040478	1-1	1
BL01215	ENSDARG00000074646	1-2	2
BL01215	ENSDARG00000001999	1-2	2
BL01131	ENSDARG00000041870	1-1	1
BL00426	ENSDARG00000054172	1-2	2
BL00426	ENSDARG00000030237	1-2	2
BL09621	ENSDARG00000017636	1-3	2
BL09621	ENSDARG00000019438	1-3	2
BL11762	ENSDARG00000040401	1-1	1
BL11760	ENSDARG00000069289	1-1	1
BL04501	ENSDARG00000034178	1-1	1
BL04504	ENSDARG00000079340	1-2	6
BL04504	ENSDARG00000098658	1-2	6
BL04504	ENSDARG00000060051	1-2	6
BL04504	ENSDARG00000074561	1-2	6
BL04504	ENSDARG00000046012	1-2	6
BL04504	ENSDARG00000061455	1-2	6
BL03191	ENSDARG00000024564	1-1	3
BL03191	ENSDARG00000075766	1-1	3
BL03191	ENSDARG00000075053	1-1	3
BL03196	ENSDARG00000061864	1-1	2
BL03196	ENSDARG00000009830	1-1	2
BL03197	ENSDARG00000059075	1-1	1
BL03194	ENSDARG00000078924	1-1	1
BL16230	ENSDARG00000043417	1-1	1
BL16232	ENSDARG00000067918	1-1	1
BL16235	ENSDARG00000062297	1-2	2
BL16235	ENSDARG00000059824	1-2	2
BL06818	ENSDARG00000087210	1-1	1
BL06819	ENSDARG00000092546	1-1	2
BL06819	ENSDARG00000002967	1-1	2
BL06816	ENSDARG00000069853	1-1	1
BL06817	ENSDARG00000079616	1-1	1
BL12443	ENSDARG00000074623	1-1	1
BL12447	ENSDARG00000071565	1-2	2
BL12447	ENSDARG00000021494	1-2	2
BL12444	ENSDARG00000102705	1-1	1
BL12445	ENSDARG00000103799	1-1	1
BL13310	ENSDARG00000036671	1-3	13
BL13310	ENSDARG00000052708	1-3	13
BL13310	ENSDARG00000099870	1-3	13
BL13310	ENSDARG00000092999	1-3	13
BL13310	ENSDARG00000005841	1-3	13
BL13310	ENSDARG00000045592	1-3	13
BL13310	ENSDARG00000029995	1-3	13
BL13310	ENSDARG00000013752	1-3	13
BL13310	ENSDARG00000029069	1-3	13
BL13310	ENSDARG00000042559	1-3	13
BL13310	ENSDARG00000035958	1-3	13
BL13310	ENSDARG00000073766	1-3	13
BL13310	ENSDARG00000000474	1-3	13
BL13313	ENSDARG00000104708	1-1	1
BL13314	ENSDARG00000056903	1-1	1
BL95385	ENSDARG00000059805	1-1	2
BL95385	ENSDARG00000074533	1-1	2
BL95387	ENSDARG00000077580	1-1	2
BL95387	ENSDARG00000089235	1-1	2
BL15254	ENSDARG00000041576	1-1	1
BL15258	ENSDARG00000070433	1-1	1
BL15259	ENSDARG00000007916	1-1	1
BL13423	ENSDARG00000062640	1-3	4
BL13423	ENSDARG00000062565	1-3	4
BL13423	ENSDARG00000069560	1-3	4
BL13423	ENSDARG00000061990	1-3	4
BL03940	ENSDARG00000103007	1-1	1
BL03947	ENSDARG00000079482	1-1	1
BL03946	ENSDARG00000094441	1-1	1
BL03948	ENSDARG00000056270	1-1	1
BL10156	ENSDARG00000099516	1-1	2
BL10156	ENSDARG00000098719	1-1	2
BL10159	ENSDARG00000062594	1-1	1
BL10995	ENSDARG00000007421	1-1	1
BL10992	ENSDARG00000068893	1-1	1
BL08818	ENSDARG00000029472	1-1	1
BL09952	ENSDARG00000079779	1-2	3
BL09952	ENSDARG00000074829	1-2	3
BL09952	ENSDARG00000059567	1-2	3
BL09953	ENSDARG00000036613	1-1	1
BL09955	ENSDARG00000098749	1-1	1
BL09956	ENSDARG00000043404	1-1	1
BL09957	ENSDARG00000079486	1-2	4
BL09957	ENSDARG00000074317	1-2	4
BL09957	ENSDARG00000090338	1-2	4
BL09957	ENSDARG00000060325	1-2	4
BL12161	ENSDARG00000052480	1-1	1
BL12163	ENSDARG00000063411	1-1	1
BL12166	ENSDARG00000002385	1-1	1
BL20860	ENSDARG00000056378	1-1	2
BL20860	ENSDARG00000075629	1-1	2
BL20865	ENSDARG00000042728	1-1	1
BL20864	ENSDARG00000041708	1-1	1
BL20866	ENSDARG00000060442	1-1	1
BL14646	ENSDARG00000044575	1-2	2
BL14646	ENSDARG00000056717	1-2	2
BL19235	ENSDARG00000061899	1-1	1
BL14644	ENSDARG00000043727	1-1	1
BL19237	ENSDARG00000058030	1-1	1
BL14643	ENSDARG00000069427	1-4	4
BL14643	ENSDARG00000062699	1-4	4
BL14643	ENSDARG00000042961	1-4	4
BL14643	ENSDARG00000006859	1-4	4
BL14641	ENSDARG00000061040	1-2	2
BL14641	ENSDARG00000099256	1-2	2
BL23712	ENSDARG00000004647	1-1	1
BL05926	ENSDARG00000104353	1-1	1
BL23714	ENSDARG00000038802	1-1	1
BL23715	ENSDARG00000063646	1-1	2
BL23715	ENSDARG00000006639	1-1	2
BL20005	ENSDARG00000104837	1-1	1
BL07382	ENSDARG00000056665	1-1	1
BL07387	ENSDARG00000101047	1-1	1
BL19594	ENSDARG00000012021	1-1	1
BL07656	ENSDARG00000035631	1-2	2
BL07656	ENSDARG00000024026	1-2	2
BL06384	ENSDARG00000055679	1-1	1
BL06386	ENSDARG00000059474	1-2	1
BL21875	ENSDARG00000018691	1-3	4
BL21875	ENSDARG00000006584	1-3	4
BL21875	ENSDARG00000018111	1-3	4
BL21875	ENSDARG00000018559	1-3	4
BL06520	ENSDARG00000056178	1-1	1
BL10310	ENSDARG00000046024	1-1	1
BL10311	ENSDARG00000074143	1-1	3
BL10311	ENSDARG00000017004	1-1	3
BL10311	ENSDARG00000074723	1-1	3
BL10319	ENSDARG00000078034	1-1	2
BL10319	ENSDARG00000028804	1-1	2
BL95852	ENSDARG00000061993	1-1	1
BL02007	ENSDARG00000017315	1-1	1
BL17287	ENSDARG00000029372	1-2	1
BL17284	ENSDARG00000098208	1-2	1
BL13107	ENSDARG00000101080	1-2	1
BL11593	ENSDARG00000068323	1-2	1
BL11592	ENSDARG00000023160	1-1	1
BL11597	ENSDARG00000013082	1-2	2
BL11597	ENSDARG00000052170	1-2	2
BL03545	ENSDARG00000014867	1-1	1
BL03541	ENSDARG00000009436	1-1	1
BL09622	ENSDARG00000058162	1-2	4
BL09622	ENSDARG00000004492	1-2	4
BL09622	ENSDARG00000104207	1-2	4
BL09622	ENSDARG00000011233	1-2	4
BL09623	ENSDARG00000075382	1-3	3
BL09623	ENSDARG00000009209	1-3	3
BL09623	ENSDARG00000076754	1-3	3
BL09624	ENSDARG00000100515	1-4	4
BL09624	ENSDARG00000098108	1-4	4
BL09624	ENSDARG00000044688	1-4	4
BL09624	ENSDARG00000019307	1-4	4
BL14476	ENSDARG00000026338	1-1	1
BL96880	ENSDARG00000036781	1-1	1
BL16063	ENSDARG00000068587	1-1	1
BL12767	ENSDARG00000034823	1-2	1
BL12761	ENSDARG00000006691	1-2	1
BL12760	ENSDARG00000054136	1-1	1
BL08971	ENSDARG00000035907	1-2	4
BL08971	ENSDARG00000020929	1-2	4
BL08971	ENSDARG00000006672	1-2	4
BL08971	ENSDARG00000045417	1-2	4
BL08973	ENSDARG00000019907	1-1	1
BL08975	ENSDARG00000104342	1-3	3
BL08975	ENSDARG00000005458	1-3	3
BL08975	ENSDARG00000034056	1-3	3
BL08974	ENSDARG00000098074	1-1	1
BL08976	ENSDARG00000091326	1-1	1
BL23128	ENSDARG00000038557	1-1	1
BL23125	ENSDARG00000099458	1-1	1
BL23127	ENSDARG00000090219	1-1	1
BL23126	ENSDARG00000019116	1-2	2
BL23126	ENSDARG00000104907	1-2	2
BL23121	ENSDARG00000033604	1-1	1
BL14335	ENSDARG00000100376	1-1	1
BL14331	ENSDARG00000086678	1-1	1
BL17622	ENSDARG00000010981	1-2	3
BL17622	ENSDARG00000058830	1-2	3
BL17622	ENSDARG00000019484	1-2	3
BL09364	ENSDARG00000060515	1-3	4
BL09364	ENSDARG00000069807	1-3	4
BL09364	ENSDARG00000105034	1-3	4
BL09364	ENSDARG00000037069	1-3	4
BL22654	ENSDARG00000057632	1-1	1
BL10057	ENSDARG00000078014	1-3	4
BL10057	ENSDARG00000042128	1-3	4
BL10057	ENSDARG00000032865	1-3	4
BL10057	ENSDARG00000099339	1-3	4
BL10055	ENSDARG00000003495	1-1	1
BL10052	ENSDARG00000071375	1-4	5
BL10052	ENSDARG00000101933	1-4	5
BL10052	ENSDARG00000034668	1-4	5
BL10052	ENSDARG00000070045	1-4	5
BL10052	ENSDARG00000006983	1-4	5
BL10050	ENSDARG00000011026	1-2	1
BL14062	ENSDARG00000102216	1-4	6
BL14062	ENSDARG00000099323	1-4	6
BL14062	ENSDARG00000009677	1-4	6
BL14062	ENSDARG00000076796	1-4	6
BL14062	ENSDARG00000041926	1-4	6
BL14062	ENSDARG00000039385	1-4	6
BL11902	ENSDARG00000103369	1-1	1
BL11903	ENSDARG00000022564	1-1	1
BL11900	ENSDARG00000006889	1-2	3
BL11900	ENSDARG00000034443	1-2	3
BL11900	ENSDARG00000088181	1-2	3
BL82672	ENSDARG00000038980	1-3	3
BL82672	ENSDARG00000060682	1-3	3
BL82672	ENSDARG00000070480	1-3	3
BL17824	ENSDARG00000038094	1-1	1
BL24550	ENSDARG00000052652	1-3	4
BL24550	ENSDARG00000020242	1-3	4
BL24550	ENSDARG00000079267	1-3	4
BL24550	ENSDARG00000030938	1-3	4
BL08105	ENSDARG00000033757	1-1	1
BL19869	ENSDARG00000043734	1-1	1
BL01414	ENSDARG00000001890	1-1	1
BL01417	ENSDARG00000017612	1-1	1
BL01410	ENSDARG00000103610	1-1	1
BL01412	ENSDARG00000087822	1-3	3
BL01412	ENSDARG00000062123	1-3	3
BL01412	ENSDARG00000099874	1-3	3
BL15815	ENSDARG00000005462	1-1	1
BL15818	ENSDARG00000089076	1-1	2
BL15818	ENSDARG00000100851	1-1	2
BL17529	ENSDARG00000023279	1-1	2
BL17529	ENSDARG00000101295	1-1	2
BL17525	ENSDARG00000063242	1-1	1
BL06975	ENSDARG00000030064	1-2	3
BL06975	ENSDARG00000094504	1-2	3
BL06975	ENSDARG00000078221	1-2	3
BL06973	ENSDARG00000098783	1-1	1
BL00063	ENSDARG00000027169	1-2	2
BL00063	ENSDARG00000038066	1-2	2
BL19001	ENSDARG00000044899	1-1	1
BL19006	ENSDARG00000073765	1-2	3
BL19006	ENSDARG00000025826	1-2	3
BL19006	ENSDARG00000037924	1-2	3
BL19004	ENSDARG00000012458	1-1	2
BL19004	ENSDARG00000055383	1-1	2
BL21257	ENSDARG00000103831	1-1	1
BL21256	ENSDARG00000087779	1-1	1
BL04821	ENSDARG00000007127	1-2	1
BL18871	ENSDARG00000004291	1-2	3
BL18871	ENSDARG00000063253	1-2	3
BL18871	ENSDARG00000062447	1-2	3
BL18875	ENSDARG00000019969	1-3	4
BL18875	ENSDARG00000038786	1-3	4
BL18875	ENSDARG00000019004	1-3	4
BL18875	ENSDARG00000088877	1-3	4
BL80844	ENSDARG00000074588	1-1	1
BL95511	ENSDARG00000068179	1-3	3
BL95511	ENSDARG00000076142	1-3	3
BL95511	ENSDARG00000016200	1-3	3
BL95512	ENSDARG00000076379	1-1	1
BL01992	ENSDARG00000012829	1-1	1
BL00111	ENSDARG00000029157	1-1	1
BL00110	ENSDARG00000077768	1-1	3
BL00110	ENSDARG00000068152	1-1	3
BL00110	ENSDARG00000006052	1-1	3
BL00114	ENSDARG00000042005	1-1	1
BL16921	ENSDARG00000037071	1-1	2
BL16921	ENSDARG00000030408	1-1	2
BL16920	ENSDARG00000026771	1-1	2
BL16920	ENSDARG00000070028	1-1	2
BL16923	ENSDARG00000038991	1-1	2
BL16923	ENSDARG00000007654	1-1	2
BL16927	ENSDARG00000013310	1-3	3
BL16927	ENSDARG00000005416	1-3	3
BL16927	ENSDARG00000104760	1-3	3
BL16926	ENSDARG00000006863	1-1	1
BL05695	ENSDARG00000017835	1-1	2
BL05695	ENSDARG00000005002	1-1	2
BL05693	ENSDARG00000033436	1-1	1
BL04120	ENSDARG00000018825	1-1	1
BL00689	ENSDARG00000077139	1-4	2
BL00689	ENSDARG00000079752	1-4	2
BL11658	ENSDARG00000060489	1-2	1
BL11654	ENSDARG00000076533	1-4	3
BL11654	ENSDARG00000042824	1-4	3
BL11654	ENSDARG00000019810	1-4	3
BL11652	ENSDARG00000038855	1-1	2
BL11652	ENSDARG00000103718	1-1	2
BL11653	ENSDARG00000099499	1-2	4
BL11653	ENSDARG00000056108	1-2	4
BL11653	ENSDARG00000103114	1-2	4
BL11653	ENSDARG00000087907	1-2	4
BL00804	ENSDARG00000023858	1-1	1
BL00809	ENSDARG00000074995	1-1	1
BL02401	ENSDARG00000044972	1-2	2
BL02401	ENSDARG00000016231	1-2	2
BL95895	ENSDARG00000070407	1-1	1
BL95891	ENSDARG00000098967	1-1	1
BL95892	ENSDARG00000103198	1-1	1
BL09659	ENSDARG00000053446	1-1	2
BL09659	ENSDARG00000007720	1-1	2
BL17722	ENSDARG00000014324	1-1	1
BL13408	ENSDARG00000005867	1-1	1
BL13405	ENSDARG00000074314	1-1	1
BL13407	ENSDARG00000027903	1-2	1
BL17897	ENSDARG00000076439	1-1	2
BL17897	ENSDARG00000070570	1-1	2
BL17890	ENSDARG00000004130	1-1	1
BL23082	ENSDARG00000057529	1-1	1
BL23081	ENSDARG00000028379	1-1	1
BL23085	ENSDARG00000042133	1-1	2
BL23085	ENSDARG00000045567	1-1	2
BL23088	ENSDARG00000092003	1-1	1
BL30209	ENSDARG00000062272	1-2	2
BL30209	ENSDARG00000079651	1-2	2
BL15493	ENSDARG00000075463	1-1	1
BL22023	ENSDARG00000056008	1-3	3
BL22023	ENSDARG00000017775	1-3	3
BL22023	ENSDARG00000009447	1-3	3
BL22021	ENSDARG00000034173	1-2	3
BL22021	ENSDARG00000070651	1-2	3
BL22021	ENSDARG00000009208	1-2	3
BL21649	ENSDARG00000076622	1-2	1
BL21647	ENSDARG00000042029	1-4	2
BL21647	ENSDARG00000061774	1-4	2
BL06779	ENSDARG00000033138	1-1	1
BL06774	ENSDARG00000045355	1-1	2
BL06774	ENSDARG00000045359	1-1	2
BL06777	ENSDARG00000019406	1-1	1
BL06772	ENSDARG00000089245	1-1	2
BL06772	ENSDARG00000009844	1-1	2
BL23861	ENSDARG00000042337	1-1	1
BL24071	ENSDARG00000028523	1-1	1
BL24074	ENSDARG00000016809	1-2	3
BL24074	ENSDARG00000098844	1-2	3
BL24074	ENSDARG00000100349	1-2	3
BL24079	ENSDARG00000098904	1-1	1
BL20519	ENSDARG00000022660	1-1	1
BL20517	ENSDARG00000018426	1-1	1
BL01205	ENSDARG00000055470	1-1	1
BL01202	ENSDARG00000060477	1-1	1
BL18255	ENSDARG00000067752	1-1	1
BL18257	ENSDARG00000033361	1-1	1
BL05455	ENSDARG00000045415	1-2	2
BL05455	ENSDARG00000043094	1-2	2
BL05454	ENSDARG00000008542	1-1	1
BL05452	ENSDARG00000058208	1-1	1
BL03119	ENSDARG00000069857	1-1	1
BL03116	ENSDARG00000012432	1-2	1
BL03114	ENSDARG00000034174	1-1	1
BL03115	ENSDARG00000099640	1-1	1
BL02249	ENSDARG00000060361	1-1	1
BL02241	ENSDARG00000005453	1-3	3
BL02241	ENSDARG00000014181	1-3	3
BL02241	ENSDARG00000076120	1-3	3
BL06891	ENSDARG00000042851	1-1	1
BL06897	ENSDARG00000057782	1-2	3
BL06897	ENSDARG00000082979	1-2	3
BL06897	ENSDARG00000102974	1-2	3
BL95301	ENSDARG00000019280	1-1	1
BL95302	ENSDARG00000103235	1-1	1
BL06234	ENSDARG00000013990	1-2	2
BL06234	ENSDARG00000100766	1-2	2
BL06236	ENSDARG00000095594	1-1	1
BL06233	ENSDARG00000089217	1-2	1
BL00302	ENSDARG00000102060	1-1	1
BL00303	ENSDARG00000025233	1-1	1
BL05153	ENSDARG00000005861	1-2	2
BL05153	ENSDARG00000076889	1-2	2
BL11281	ENSDARG00000004937	1-1	1
BL10489	ENSDARG00000058508	1-1	1
BL16888	ENSDARG00000087346	1-2	3
BL16888	ENSDARG00000012553	1-2	3
BL16888	ENSDARG00000008867	1-2	3
BL16889	ENSDARG00000105037	1-1	1
BL16884	ENSDARG00000070266	1-3	3
BL16884	ENSDARG00000074644	1-3	3
BL16884	ENSDARG00000075393	1-3	3
BL16883	ENSDARG00000102145	1-1	1
BL10739	ENSDARG00000091471	1-2	2
BL10739	ENSDARG00000033949	1-2	2
BL10736	ENSDARG00000003675	1-1	1
BL10734	ENSDARG00000052575	1-2	2
BL10734	ENSDARG00000012763	1-2	2
BL10735	ENSDARG00000062021	1-1	1
BL24539	ENSDARG00000070116	1-1	1
BL03653	ENSDARG00000032780	1-1	1
BL03654	ENSDARG00000087666	1-1	2
BL03654	ENSDARG00000016058	1-1	2
BL03657	ENSDARG00000009745	1-1	1
BL16773	ENSDARG00000103144	1-1	1
BL16777	ENSDARG00000024602	1-1	2
BL16777	ENSDARG00000042623	1-1	2
BL08684	ENSDARG00000057419	1-3	4
BL08684	ENSDARG00000103399	1-3	4
BL08684	ENSDARG00000017398	1-3	4
BL08684	ENSDARG00000037059	1-3	4
BL28361	ENSDARG00000102531	1-1	1
BL12256	ENSDARG00000094258	1-1	1
BL12253	ENSDARG00000060006	1-2	2
BL12253	ENSDARG00000099843	1-2	2
BL12250	ENSDARG00000076798	1-1	1
BL09248	ENSDARG00000041072	1-3	5
BL09248	ENSDARG00000006253	1-3	5
BL09248	ENSDARG00000021288	1-3	5
BL09248	ENSDARG00000001447	1-3	5
BL09248	ENSDARG00000071413	1-3	5
BL09249	ENSDARG00000075721	1-1	1
BL09246	ENSDARG00000015208	1-2	2
BL09246	ENSDARG00000029058	1-2	2
BL21029	ENSDARG00000070478	1-1	1
BL21024	ENSDARG00000061314	1-1	1
BL17919	ENSDARG00000060177	1-1	1
BL17918	ENSDARG00000099445	1-2	2
BL17918	ENSDARG00000036281	1-2	2
BL17916	ENSDARG00000026655	1-2	1
BL15515	ENSDARG00000075126	1-3	3
BL15515	ENSDARG00000032795	1-3	3
BL15515	ENSDARG00000103988	1-3	3
BL15514	ENSDARG00000059337	1-3	1
BL15517	ENSDARG00000102441	1-3	2
BL15517	ENSDARG00000024785	1-3	2
BL15510	ENSDARG00000036965	1-2	2
BL15510	ENSDARG00000102075	1-2	2
BL15512	ENSDARG00000056121	1-1	1
BL15518	ENSDARG00000010098	1-3	3
BL15518	ENSDARG00000003311	1-3	3
BL15518	ENSDARG00000008192	1-3	3
BL18642	ENSDARG00000060484	1-1	1
BL18640	ENSDARG00000099999	1-3	2
BL18640	ENSDARG00000004714	1-3	2
BL18641	ENSDARG00000008395	1-1	1
BL18644	ENSDARG00000023498	1-1	2
BL18644	ENSDARG00000024112	1-1	2
BL23548	ENSDARG00000102538	1-1	1
BL23542	ENSDARG00000068213	1-2	4
BL23542	ENSDARG00000102815	1-2	4
BL23542	ENSDARG00000014673	1-2	4
BL23542	ENSDARG00000035185	1-2	4
BL23547	ENSDARG00000062702	1-1	1
BL23545	ENSDARG00000059175	1-1	1
BL20082	ENSDARG00000058467	1-2	1
BL20081	ENSDARG00000090152	1-1	1
BL20086	ENSDARG00000007429	1-1	1
BL20084	ENSDARG00000077492	1-2	1
BL24799	ENSDARG00000078381	1-1	1
BL19510	ENSDARG00000017891	1-1	1
BL24132	ENSDARG00000059801	1-2	1
BL24138	ENSDARG00000068138	1-1	3
BL24138	ENSDARG00000045190	1-1	3
BL24138	ENSDARG00000038728	1-1	3
BL82618	ENSDARG00000030278	1-1	1
BL21567	ENSDARG00000044596	1-1	1
BL21565	ENSDARG00000037738	1-2	3
BL21565	ENSDARG00000103505	1-2	3
BL21565	ENSDARG00000021882	1-2	3
BL19302	ENSDARG00000022974	1-1	1
BL19304	ENSDARG00000103800	1-2	3
BL19304	ENSDARG00000076128	1-2	3
BL19304	ENSDARG00000101755	1-2	3
BL00473	ENSDARG00000022340	1-1	1
BL01071	ENSDARG00000019239	1-1	2
BL01071	ENSDARG00000007691	1-1	2
BL01075	ENSDARG00000062897	1-2	2
BL01075	ENSDARG00000077650	1-2	2
BL01074	ENSDARG00000016044	1-1	1
BL05792	ENSDARG00000011449	1-2	2
BL05792	ENSDARG00000012196	1-2	2
BL05798	ENSDARG00000052606	1-2	1
BL05799	ENSDARG00000054696	1-1	1
BL16572	ENSDARG00000010918	1-1	1
BL16573	ENSDARG00000062515	1-1	1
BL16570	ENSDARG00000079848	1-1	1
BL03329	ENSDARG00000058225	1-3	3
BL03329	ENSDARG00000054063	1-3	3
BL03329	ENSDARG00000053728	1-3	3
BL65236	ENSDARG00000076486	1-1	1
BL06915	ENSDARG00000058990	1-1	1
BL06917	ENSDARG00000099322	1-1	1
BL06911	ENSDARG00000008931	1-1	1
BL06912	ENSDARG00000003867	1-1	1
BL12982	ENSDARG00000042261	1-1	1
BL12986	ENSDARG00000021885	1-1	1
BL97002	ENSDARG00000013500	1-1	1
BL13058	ENSDARG00000041133	1-1	1
BL15064	ENSDARG00000014945	1-1	1
BL15067	ENSDARG00000006038	1-1	1
BL11984	ENSDARG00000060798	1-1	1
BL08180	ENSDARG00000026170	1-1	1
BL08184	ENSDARG00000060288	1-1	1
BL11360	ENSDARG00000038894	1-1	1
BL09855	ENSDARG00000042933	1-1	1
BL09854	ENSDARG00000079815	1-1	1
BL08725	ENSDARG00000069739	1-2	3
BL08725	ENSDARG00000043396	1-2	3
BL08725	ENSDARG00000035895	1-2	3
BL08720	ENSDARG00000027649	1-1	1
BL08721	ENSDARG00000036704	1-1	1
